Order,AnimalName,CorrectedAnimalName,Corrected,DTIResolution,SNR,BrainOrientation,GM,WM,log10_GM_,log10_WM_,log10_BrV_,BrVol,TotFib,CC,AC,HC,TotalCommisures,ComRatio,file_prefix
Rodentia,Agouti1,Agouti1,0,0.48,40.9265827454706,RL,15.20805,3.05587,4.18207353170381,3.48513487494176,4.26159399618068,18.26392,81763,6881,644,3898,11423,13.9708670180889,Agouti1_FF3_allfibers_kperm
Rodentia,Agouti2,Agouti2,0,0.49,44.5690876148104,RL,14.36,2.899,4.15715443990628,3.462248215355,4.23701562874516,17.259,79663,6670,621,3098,10389,13.0411859960082,Agouti2_FF3_allfibers_kperm
Rodentia,BlindMole2,BlindMole2,0,0.225,38.8991087952184,RL,1.3737,0.088312,3.13789189824736,1.9460197203351,3.1649509372678,1.462012,73793,3683,309,662,4654,6.30683127125879,BlindMole2_FF3_allfibers_kperm
Rodentia,Capybara,Capybara,0,0.64,34.1378816220784,RL,38.99,7.42,4.59095323518799,3.87040390527903,4.66661156841903,46.41,71235,4811,516,2330,7657,10.7489295992139,Capybara_FF3_allfibers_kperm
Rodentia,CaucasianSquirrel,CaucasianSquirrel,0,0.28,67.1913177348329,RL,4.77,0.54,3.67851837904011,2.73239375982297,3.72509452108147,5.31,73533,4658,529,905,6092,8.28471570587355,CaucasianSquirrel_FF3_allfibers_kperm
Rodentia,ChinChila,ChinChila,0,0.305,39.4721476586495,RL,3.3855,0.5208,3.52962281813344,2.71667097556014,3.59176559362194,3.9063,65590,1540,465,3907,5912,9.01356914163745,Chinchila_FF3_allfibers_kperm
Rodentia,Coypu (Notria),Coypu (Notria),0,0.43,59.3840104692373,RL,13.03,2.068,4.11494441571259,3.3155505344219,4.17891942103547,15.098,117759,8332,3060,234,11626,9.8727061201267,Coypu_FF3_allfibers_kperm
Rodentia,Dego,Dego,0,0.23,13.5680521753037,RL,1.3246,0.2298,3.12208475071087,2.36135002435227,3.19156278759173,1.5544,57156,2931,150,2800,5881,10.2893834418084,Dego_FF3_allfibers_kperm
Rodentia,Gerbil,Gerbil,0,0.17,24.2190539232242,RL,0.75061,0.12374,2.87541434600284,2.09251011168398,2.94168531437513,0.87435,87654,2655,1058,269,3982,4.54286170625414,Gerbil_FF3_allfibers_kperm
Rodentia,Golden Spiny Mouse,Golden Spiny Mouse,0,0.165,37.2783206533683,RL,0.4431,0.059143,2.64650175003161,1.77190335012586,2.70091389249334,0.502243,49282,2087,187,779,3053,6.19495962014529,GoldenSpinyMouse_FF3_allfibers_kperm
Rodentia,Merion,Merion,0,0.16,14.5177366222781,RL,0.61395,0.1404,2.78813300370095,2.14736710779379,2.87757289467661,0.75435,64789,2447,223,953,3623,5.59199864174474,Merion_FF3_allfibers_kperm
Rodentia,Mouse,Mouse,0,0.14,29.8450766044187,RL,0.25847,0.03878,2.41241014282439,1.58860780474269,2.47312186329073,0.29725,48935,956,238,838,2032,4.15244712373557,Mouse_FF3_allfibers_kperm
Rodentia,Palm Squirrel,Palm Squirrel,0,0.22,28.0243839331865,RL,1.174996,0.167,3.07003638815594,2.22271647114758,3.12775122136165,1.341996,58334,3986,346,933,5265,9.02561113587273,PalmSquirrel_FF3_allfibers_kperm
Rodentia,Porcupine,porcupine1,1,0.54,61.1724178847569,RL,25.43,5.641,4.40534636017571,3.75135609972539,4.49235523096637,31.071,96465,5346,262,2231,7839,8.12626341160006,Porcupine1_FF3_allfibers_kperm
Rodentia,Porcupine2,Porcupine2,0,0.53,41.5689134613752,RL,25.57,5.82,4.40773072802634,3.76492298464989,4.49679131570004,31.39,96492,8159,610,2346,11115,11.5190896654645,Porcupine2_FF3_allfibers_kperm
Rodentia,PrairieDog,PrairieDog,0,0.315,15.6608638258321,RL,3.288,0.6971,3.51693180886801,2.84329508273651,3.6004392238258,3.9851,47026,2835,687,2046,5568,11.8402585803598,PrairieDog_FF3_allfibers_kperm
Rodentia,Rat2,Rat2,0,0.21,25.6374040922942,RL,1.18326,0.270921,3.07308018347721,2.43284266996725,3.16261846595146,1.454181,85432,3882,197,1594,5673,6.64036894840341,Rat2_FF3_allfibers_kperm
Rodentia,Rat3,Rat3,0,0.21,27.4351201963166,RL,1.1077,0.117,3.04442215571184,2.06818586174616,3.08802971784271,1.2247,68439,4570,387,236,5193,7.58777889799676,Rat3_FF3_allfibers_kperm
Rodentia,Rat6,Rat6,0,0.22,54.4025342549298,RL,1.058,0.199,3.02448566769917,2.29885307640971,3.09933527768596,1.257,63695,2217,205,1832,4254,6.67870319491326,Rat6_FF3_allfibers_kperm
Rodentia,Skinny Pig,Skinny Pig,0,0.29,58.5555123179067,RL,2.7082,0.421,3.43268073375352,2.62428209583567,3.49543332157399,3.1292,51866,1606,390,1551,3547,6.83877684803147,SkinnyPig_FF3_allfibers_kperm
Rodentia,Spiny Mouse,Spiny Mouse,0,0.165,18.4832543360963,RL,0.4529,0.114,2.65600232068296,2.05690485133647,2.75350645699097,0.5669,48624,1438,144,742,2324,4.77953274103323,SpinyMouse_FF3_allfibers_kperm
Rodentia,Vole,Vole,0,0.155,29.9680068787155,RL,0.43922,0.030685,2.64268210760751,1.48692612761995,2.67201006613565,0.469905,59999,1062,732,1892,3686,6.14343572392873,Vole_FF3_allfibers_kperm
